2022-12-27 11:49:17 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70413\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70413)
2022-12-27 11:49:17 INFO     Scanning directory: D:\Downloads\Demos\70413\
2022-12-27 11:49:17 INFO     At file: imperial-vs-9z-inferno.dem
2022-12-27 11:49:23 INFO     Source: D:\Downloads\Demos\70413\imperial-vs-9z-inferno.json
2022-12-27 11:49:23 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\imperial-vs-9z-inferno_70413.json
2022-12-27 11:49:23 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\imperial-vs-9z-inferno_70413.json
2022-12-27 11:49:23 INFO     Analyzed a total of 1 demos!
2022-12-27 11:49:23 INFO     D:\Downloads\Demos\70412.rar has been deleted!
2022-12-27 11:49:23 INFO     D:\Downloads\Demos\70414.rar has been created!
2022-12-27 11:49:23 INFO     D:\Downloads\Demos\70414.rar has been modified!
2022-12-27 11:49:24 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70414\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70414)
2022-12-27 11:49:24 INFO     Scanning directory: D:\Downloads\Demos\70414\
2022-12-27 11:49:24 INFO     At file: case-vs-00nation-mirage.dem
2022-12-27 11:49:29 INFO     Source: D:\Downloads\Demos\70414\case-vs-00nation-mirage.json
2022-12-27 11:49:29 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\case-vs-00nation-mirage_70414.json
2022-12-27 11:49:29 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\case-vs-00nation-mirage_70414.json
2022-12-27 11:49:29 INFO     Analyzed a total of 1 demos!
2022-12-27 11:49:29 INFO     D:\Downloads\Demos\70415.rar has been created!
2022-12-27 11:49:29 INFO     D:\Downloads\Demos\70415.rar has been modified!
2022-12-27 11:49:31 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70415\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70415)
2022-12-27 11:49:31 INFO     Scanning directory: D:\Downloads\Demos\70415\
2022-12-27 11:49:31 INFO     At file: imperial-vs-case-inferno.dem
2022-12-27 11:49:36 INFO     Source: D:\Downloads\Demos\70415\imperial-vs-case-inferno.json
2022-12-27 11:49:36 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\imperial-vs-case-inferno_70415.json
2022-12-27 11:49:36 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\imperial-vs-case-inferno_70415.json
2022-12-27 11:49:36 INFO     Analyzed a total of 1 demos!
2022-12-27 11:49:36 INFO     D:\Downloads\Demos\70413.rar has been deleted!
2022-12-27 11:49:36 INFO     D:\Downloads\Demos\70416.rar has been created!
2022-12-27 11:49:36 INFO     D:\Downloads\Demos\70416.rar has been modified!
2022-12-27 11:49:37 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70416\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70416)
2022-12-27 11:49:37 INFO     Scanning directory: D:\Downloads\Demos\70416\
2022-12-27 11:49:37 INFO     At file: tribute-to-tribute-vs-new-threat-m1-inferno.dem
2022-12-27 11:49:41 INFO     Source: D:\Downloads\Demos\70416\tribute-to-tribute-vs-new-threat-m1-inferno.json
2022-12-27 11:49:41 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\tribute-to-tribute-vs-new-threat-m1-inferno_70416.json
2022-12-27 11:49:41 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\tribute-to-tribute-vs-new-threat-m1-inferno_70416.json
2022-12-27 11:49:41 INFO     At file: tribute-to-tribute-vs-new-threat-m2-vertigo.dem
2022-12-27 11:49:44 INFO     Source: D:\Downloads\Demos\70416\tribute-to-tribute-vs-new-threat-m2-vertigo.json
2022-12-27 11:49:44 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\vertigo\tribute-to-tribute-vs-new-threat-m2-vertigo_70416.json
2022-12-27 11:49:44 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\vertigo\tribute-to-tribute-vs-new-threat-m2-vertigo_70416.json
2022-12-27 11:49:44 INFO     At file: tribute-to-tribute-vs-new-threat-m3-mirage.dem
2022-12-27 11:49:47 INFO     Source: D:\Downloads\Demos\70416\tribute-to-tribute-vs-new-threat-m3-mirage.json
2022-12-27 11:49:47 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\tribute-to-tribute-vs-new-threat-m3-mirage_70416.json
2022-12-27 11:49:47 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\tribute-to-tribute-vs-new-threat-m3-mirage_70416.json
2022-12-27 11:49:47 INFO     Analyzed a total of 3 demos!
2022-12-27 11:49:47 INFO     D:\Downloads\Demos\70414.rar has been deleted!
2022-12-27 11:49:47 INFO     D:\Downloads\Demos\70416.rar has been modified!
2022-12-27 11:49:47 INFO     D:\Downloads\Demos\70415.rar has been deleted!
2022-12-27 11:49:47 INFO     D:\Downloads\Demos\70417.rar has been created!
2022-12-27 11:49:47 INFO     D:\Downloads\Demos\70417.rar has been modified!
2022-12-27 11:49:49 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70417\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70417)
2022-12-27 11:49:49 INFO     Scanning directory: D:\Downloads\Demos\70417\
2022-12-27 11:49:49 INFO     At file: stealth-vs-underground-kings-m1-overpass.dem
2022-12-27 11:49:52 INFO     Source: D:\Downloads\Demos\70417\stealth-vs-underground-kings-m1-overpass.json
2022-12-27 11:49:52 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\stealth-vs-underground-kings-m1-overpass_70417.json
2022-12-27 11:49:52 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\stealth-vs-underground-kings-m1-overpass_70417.json
2022-12-27 11:49:52 INFO     At file: stealth-vs-underground-kings-m2-ancient.dem
2022-12-27 11:49:54 INFO     Source: D:\Downloads\Demos\70417\stealth-vs-underground-kings-m2-ancient.json
